folio,su234
004500AP00,80.0
024650AP00,100.0
090050AP00,100.0
090110AP00,200.0
090270AP00,200.0
014840AP00,270.0
034480AP00,400.0
026730AP00,500.0
060980AP00,800.0
096400AP00,800.0
018720AP00,1000.0
050700AP00,1000.0
082400AP00,1000.0
057920AP00,1050.0
058080AP00,1100.0
054130AP00,1200.0
084790AP00,1200.0
089640AP00,1200.0
018540AP00,1500.0
034150AP00,1500.0
089720AP00,1500.0
089900AP00,1500.0
057630AP00,1950.0
059150AP00,2000.0
063750AP00,2000.0
058220AP00,2200.0
099250AP00,2500.0
046430AP00,3000.0
069490AP00,3000.0
090970AP00,3000.0
058400BP02,3550.0
045420AP00,3700.0
064230AP00,4000.0
088970AP00,4000.0
090430AP00,4600.0
034390AP00,5000.0
090940AP00,5000.0
093520AP00,5000.0
089800AP00,5400.0
059530AP00,6000.0
089930AP00,6000.0
090880AP00,6000.0
088780AP00,6300.0
058840AP00,8200.0
