folio,ls,edad
000220AP00,01,71.0
000300AP00,01,55.0
000520AP00,02,50.0
000680AP00,01,60.0
001020AP00,02,50.0
001090AP00,02,64.0
001280AP00,02,55.0
001320AP00,01,54.0
001910AP00,01,55.0
001920AP00,04,66.0
002110AP00,02,61.0
002250AP00,01,68.0
002730AP00,02,65.0
003370AP00,02,62.0
003410AP00,02,47.0
003430AP00,02,73.0
003460BP05,02,64.0
003840AP00,01,57.0
003900AP00,01,60.0
004090AP00,03,58.0
004190AP00,01,64.0
004210AP00,02,49.0
004450AP00,01,54.0
004540AP00,01,70.0
004600AP00,02,77.0
004650AP00,01,49.0
004760AP00,02,49.0
004830AP00,01,61.0
004850AP00,02,74.0
004880AP00,01,73.0
004900AP00,02,65.0
004990AP00,01,50.0
005140AP00,02,54.0
005450AP00,01,64.0
005590AP00,02,51.0
005960AP00,02,48.0
005970AP00,01,51.0
006020AP00,01,51.0
006170AP00,01,56.0
006321AP00,01,67.0
006440AP00,02,69.0
